id,host_id,host_name,neighbourhood_cleansed,city,latitude,longitude,price,number_of_reviews,review_scores_rating
12147973,31303940,Virginia,Roslindale,Boston,42.28261879577949,-71.13306792912681,250.0,0,
3075044,2572247,Andrea,Roslindale,Boston,42.286240821867416,-71.13437396457161,65.0,36,94.0
6976,16701,Phil,Roslindale,Boston,42.29243788665679,-71.13576525374667,65.0,41,98.0
1436513,6031442,Meghna,Roslindale,Boston,42.281106188273654,-71.12102117350554,75.0,1,100.0
7651065,15396970,Linda,Roslindale,Boston,42.28451220982457,-71.1362580468337,79.0,29,99.0
12386020,64200298,Deborah,Roslindale,Boston,42.291689800769035,-71.13189277475922,75.0,8,100.0
5706985,6570877,Juliet,Roslindale,Boston,42.28138962623447,-71.13119041987277,100.0,57,90.0
2843445,3164508,Marilyn,Roslindale,Boston,42.28194609607024,-71.14102161135577,75.0,67,96.0
753446,3962517,Sami,Roslindale,Boston,42.285877639201935,-71.12490955692161,58.0,65,96.0
849408,4434391,Damon,Roslindale,Boston,42.288820283584535,-71.1395101021012,229.0,33,94.0
12023024,64331842,Ricardo,Roslindale,Boston,42.286448197788786,-71.13932538848039,60.0,1,80.0
1668313,8834105,Rebecca,Roslindale,Boston,42.281941832424685,-71.13337190191741,57.0,17,94.0
2684840,13743098,Megan,Roslindale,Boston,42.29172341146307,-71.13155602161845,93.0,1,100.0
13547301,57402911,Georgia,Roslindale,Boston,42.287641034701096,-71.12988286590424,150.0,12,97.0
5434353,9658771,Anthony,Roslindale,Boston,42.28626473620894,-71.13706513072117,145.0,7,91.0
225979,1176995,Duane,Roslindale,Boston,42.2814520694321,-71.12925004404066,60.0,70,96.0
3420384,431385,Cynthia,Roslindale,Boston,42.27440801253166,-71.12529404441553,165.0,1,100.0
13512930,13743098,Megan,Roslindale,Boston,42.29181491557826,-71.13158793430709,75.0,1,100.0
7482195,34552909,Barrie,Roslindale,Boston,42.282224755841604,-71.11518855890074,49.0,0,
7252607,34552909,Barrie,Roslindale,Boston,42.28280175042395,-71.11514509094087,49.0,4,95.0
2583074,13226301,Mohamed,Roslindale,Boston,42.27964781834151,-71.13605872909109,40.0,31,99.0
13251243,74531248,Carl & Judy,Roslindale,Boston,42.29403534422037,-71.13223724631055,120.0,16,98.0
225834,1176995,Duane,Roslindale,Boston,42.280528126236185,-71.13084254103526,70.0,38,98.0
6400432,23127285,Jesús,Roslindale,Boston,42.27838291101699,-71.12878009724983,150.0,21,88.0
5498472,28518068,Colette,Roslindale,Boston,42.27683095063724,-71.12955973831468,175.0,1,100.0
894539,4762495,Jennifer,Roslindale,Boston,42.290903928902345,-71.13023771355206,95.0,40,96.0
879929,4653380,Beth,Roslindale,Boston,42.291519991700966,-71.13185776978565,90.0,43,95.0
9218312,47935411,Jone,Roslindale,Boston,42.289071070855776,-71.12823296377442,95.0,33,99.0
321328,8302344,Dan,Roslindale,Boston,42.29223824022419,-71.13449706289938,100.0,11,90.0
1810172,8834105,Rebecca,Roslindale,Boston,42.28208581195228,-71.1333486774579,67.0,20,96.0
6513924,16398126,Chris,Roslindale,Boston,42.284561507299415,-71.11972634316602,55.0,30,92.0
7093109,37177446,Nelson And Marlene,Roslindale,Boston,42.276968619499286,-71.11775586431584,200.0,2,100.0
14690527,28472710,Crystal,Roslindale,Boston,42.28922069154087,-71.13071326524191,150.0,0,
7086825,34552909,Barrie,Roslindale,Boston,42.28228162657036,-71.11681747458199,49.0,10,98.0
1861070,8879967,Joanne,Roslindale,Boston,42.276912922929995,-71.12823284429416,75.0,17,96.0
4283698,333210,Gena & Leon,Roslindale,Boston,42.28967076428995,-71.13728640869121,110.0,55,87.0
10116095,1229092,Jim,Roslindale,Boston,42.289603216466745,-71.13336748771151,115.0,0,
8548176,6570877,Juliet,Roslindale,Boston,42.27917609759368,-71.13277179664853,125.0,24,91.0
4922204,6570877,Juliet,Roslindale,Boston,42.28214228250037,-71.12904915306451,200.0,82,95.0
4085362,3164508,Marilyn,Roslindale,Boston,42.281748516890026,-71.14031783726143,75.0,20,97.0
3755609,19223882,Rosa,Roslindale,Boston,42.275637199479654,-71.12480041713683,78.0,21,95.0
13768853,43132977,Elly,Roslindale,Boston,42.28759769917666,-71.13448153404433,50.0,10,96.0
1936861,10021116,Douglas,Roslindale,Boston,42.28997231000651,-71.13614631892551,60.0,143,98.0
4461111,13226301,Mohamed,Roslindale,Boston,42.27896822197632,-71.13671455617596,45.0,2,100.0
1724900,7723912,Fj,Roslindale,Boston,42.28290545627205,-71.13267673899495,145.0,26,92.0
13937181,82861960,Lelia,Roslindale,Boston,42.27636367614069,-71.13643292507432,45.0,5,96.0
3968797,4762495,Jennifer,Roslindale,Boston,42.29110718003285,-71.13133846374734,85.0,29,97.0
1494726,7506913,Maria Cecilia,Roslindale,Boston,42.27571563204639,-71.13013942666514,75.0,9,93.0
8473851,44625108,Jessica,Roslindale,Boston,42.27493019121742,-71.13062800634724,50.0,14,99.0
3575220,13226301,Mohamed,Roslindale,Boston,42.280278913054104,-71.13586963457317,45.0,8,97.0
1591827,8491165,Jeff,Roslindale,Boston,42.28556002712625,-71.1239986992945,60.0,117,92.0
3229255,16343599,Ella & Will,Roslindale,Boston,42.287025610360985,-71.13353878797959,95.0,53,99.0
1721016,7723912,Fj,Roslindale,Boston,42.28606772927463,-71.13236250334809,89.0,3,100.0
12535687,30349101,Rossanna,Roslindale,Boston,42.28389087384849,-71.13140826651366,110.0,0,
12994227,8582699,Poppy,Roslindale,Boston,42.293924644315325,-71.1354893588797,65.0,0,
12927298,68001856,Laura,Roslindale,Boston,42.29061655718749,-71.13273461483398,285.0,2,80.0
169938,809859,Lisa,Jamaica Plain,Boston,42.313791962580474,-71.1033874115732,140.0,1,
594693,2139546,Robin,Jamaica Plain,Boston,42.307974813109155,-71.11622135298697,70.0,23,93.0
2384581,12083797,Molly,Jamaica Plain,Boston,42.309356585821945,-71.11682730260223,95.0,14,93.0
735970,3840038,Sidney,Jamaica Plain,Boston,42.316912213905745,-71.1130254234823,55.0,3,100.0
4262255,21873698,Elizabeth,Jamaica Plain,Boston,42.303984557617724,-71.10449360644688,80.0,57,99.0
4000384,10910804,Evelyn,Jamaica Plain,Boston,42.31632875548343,-71.09909641577437,120.0,58,97.0
6693305,14303759,Susan,Jamaica Plain,Boston,42.320022523679384,-71.10594049773768,65.0,1,100.0
6730758,207475,Danielle&Peder,Jamaica Plain,Boston,42.31451961008171,-71.10558689277725,100.0,46,97.0
